figure_path	source_stage	figure_type	cell_type	contrast	pathway	purpose	quality_status	main_or_supp_candidate	duplicate_group	notes	bytes	sha256
figures/02_qc_before_filtering.png	02_qc_before_filtering.png	other				existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:02_qc_before_filtering	No original file was deleted or modified.	440896	72d8a7daa10d8c0672b96d9fccc223f73d375c0e9c283b6fd6ce6ffbf4661e42
figures/03_atlas_overview.pdf	03_atlas_overview.pdf	other				existing analysis output; retained unchanged for audit	vector_existing_candidate	main_or_supp_review_candidate	stem:03_atlas_overview	No original file was deleted or modified.	5277292	2f0c95babae00a2641164388fec002ed29d9780bd82baecf6dcc72e48dd2f2d4
figures/04_broad_marker_review.pdf	04_broad_marker_review.pdf	other				existing analysis output; retained unchanged for audit	vector_existing_candidate	main_or_supp_review_candidate	stem:04_broad_marker_review	No original file was deleted or modified.	205615	8d94324f6408ad9448d5ac31dceee5b070df410355c550b6c00b121dd47dcab0
figures/annotation/broad_lineage_marker_dotplot.pdf	annotation	other				existing analysis output; retained unchanged for audit	vector_existing_candidate	main_or_supp_review_candidate	stem:broad_lineage_marker_dotplot	No original file was deleted or modified.	217451	ecd790f51d05ab691f4495b8265a74c52d415a0d0b19c1b313abf6c36c8852cc
figures/annotation/broad_lineage_marker_dotplot.png	annotation	other				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:broad_lineage_marker_dotplot	No original file was deleted or modified.	764338	3055737e01b439c7355b6bf7616bb6a5c9901a182268d190c8d019e42524dff0
figures/annotation/cluster24_special_review.pdf	annotation	other				existing analysis output; retained unchanged for audit	vector_existing_candidate	main_or_supp_review_candidate	stem:cluster24_special_review	No original file was deleted or modified.	135191	ce8f33be5efcd73ca9faf6abb6c5666b6239ec49704c7b46bef390966f3cddf4
figures/annotation/cluster24_special_review.png	annotation	other				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:cluster24_special_review	No original file was deleted or modified.	856990	bb3aa5e51959aace7eef6a49d480b49caede4890bbdb654454cb77a6c9b62e6f
figures/annotation/cluster25_special_review.pdf	annotation	other				existing analysis output; retained unchanged for audit	vector_existing_candidate	main_or_supp_review_candidate	stem:cluster25_special_review	No original file was deleted or modified.	132400	92182597c3e7bc630ff6618a760739fd7dba77ebd3ab134d641257c07da4979d
figures/annotation/cluster25_special_review.png	annotation	other				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:cluster25_special_review	No original file was deleted or modified.	832870	d6acaa7ac3aceb51012791d96a05bf7fa5d9d13acb2b218c842490ab8a62cd2e
figures/annotation/selected_marker_feature_plots.pdf	annotation	other				existing analysis output; retained unchanged for audit	vector_existing_candidate	main_or_supp_review_candidate	stem:selected_marker_feature_plots	No original file was deleted or modified.	747142	56e46c44a8976887fa90a97720bcb41a1efe431cc9a7072047dbdbf33b0ee2a1
figures/annotation/selected_marker_feature_plots.png	annotation	other				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:selected_marker_feature_plots	No original file was deleted or modified.	2939163	0fb962c36d0aa3139425aab8bcfadabe71803c539ff02f9fbeb356919fb75e38
figures/annotation/umap_annotation_confidence.pdf	annotation	umap				existing analysis output; retained unchanged for audit	vector_existing_candidate	main_or_supp_review_candidate	stem:umap_annotation_confidence	No original file was deleted or modified.	171998	e24f5fb0b1dca6b23b6967db6020ce19ccb0f97805e5e348b16418abda9f5420
figures/annotation/umap_annotation_confidence.png	annotation	umap				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:umap_annotation_confidence	No original file was deleted or modified.	1484633	35dce08da29dd46e40b4708166620998f71a6edf847f6b8e247636d77e464ef6
figures/annotation/umap_cell_type_broad.pdf	annotation	umap				existing analysis output; retained unchanged for audit	vector_existing_candidate	main_or_supp_review_candidate	stem:umap_cell_type_broad	No original file was deleted or modified.	173103	afd40c61b61a24be3126f8c7e31058cd0b4aadbe3b0ea2bf66e9441afb28a303
figures/annotation/umap_cell_type_broad.png	annotation	umap				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:umap_cell_type_broad	No original file was deleted or modified.	1497591	f2e9b6aade29e417432a7018791a53ed4675598ef808a1f8f8d856a822651a1b
figures/composition/broad_composition_stacked.pdf	composition	bar_or_summary				existing analysis output; retained unchanged for audit	vector_existing_candidate	main_or_supp_review_candidate	stem:broad_composition_stacked	No original file was deleted or modified.	21403	f450e7acb1f04d18dd4ee05460d9d1c7c37ad75ec089e9e23d2add4474f5ab61
figures/composition/subtype_composition_stacked.pdf	composition	bar_or_summary				existing analysis output; retained unchanged for audit	vector_existing_candidate	main_or_supp_review_candidate	stem:subtype_composition_stacked	No original file was deleted or modified.	27836	3de717cef973df2b78450cad6b74275e8fa725537b8e0bda9bc9c6eee4ebf8a8
figures/de_stage1/Granulosa_OC_vs_Y_ma_volcano.png	stage1	other	Granulosa			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:granulosa_oc_vs_y_ma_volcano	No original file was deleted or modified.	288681	79e0eb2883a8423f674173aa7a51d88b0dd79db249480a5cef2b811cfcd76635
