plot_id	png_width	png_height	png_channel_std	png_nonblank	svg_valid_xml	svg_text_editable	pdf_signature_valid	single_axis_enforced	qa_pass
atlas_umap_broad_cell_types	2589	2169	38.16849360159234	True	True	True	True	True	True
atlas_umap_granulosa_subtypes	2589	2169	24.689115334890218	True	True	True	True	True	True
atlas_umap_stromal_subtypes	2589	2169	28.22870772431681	True	True	True	True	True	True
atlas_library_composition	3249	1869	63.94939453332069	True	True	True	True	True	True
aging_de_summary	2529	1869	57.5556042215747	True	True	True	True	True	True
reversal_scatter_granulosa	2169	2020	19.695199525078475	True	True	True	True	True	True
reversal_scatter_stromal_fibroblast	2169	2020	20.678476955210076	True	True	True	True	True	True
population_exact_permutation_evidence	2529	1869	67.05448183855249	True	True	True	True	True	True
aging_axis_granulosa	1569	1869	19.064934319926255	True	True	True	True	True	True
pathway_reversal_granulosa	2889	1630	20.674212656285448	True	True	True	True	True	True
subtype_localization_granulosa	3369	1750	16.975432943588483	True	True	True	True	True	True
regulatory_candidates_granulosa	1989	1870	17.37378007717771	True	True	True	True	True	True
nmf_programs_granulosa	2169	1869	21.96244848501982	True	True	True	True	True	True
aging_axis_stromal_fibroblast	1569	1869	19.545820233153158	True	True	True	True	True	True
pathway_reversal_stromal_fibroblast	2889	2566	18.746046120423205	True	True	True	True	True	True
subtype_localization_stromal_fibroblast	3369	5109	18.87155611169266	True	True	True	True	True	True
regulatory_candidates_stromal_fibroblast	1989	1870	20.07481616807954	True	True	True	True	True	True
nmf_programs_stromal_fibroblast	2169	1869	22.01521478609159	True	True	True	True	True	True
external_pathway_validation	2829	2589	20.415103657056502	True	True	True	True	True	True
composition_intrinsic_decomposition	2769	1990	72.80769161338877	True	True	True	True	True	True
communication_ligand_hypotheses	2109	1929	18.624810890918397	True	True	True	True	True	True
candidate_tier_summary	2649	1749	61.029884781977636	True	True	True	True	True	True
