source_key	n_rows	columns
population	7	population;n_aging_primary_observed;FDR_supported_rescue_fraction_observed;FDR_supported_rescue_fraction_null_n;FDR_supported_rescue_fraction_null_min;FDR_supported_rescue_fraction_null_median;FDR_supported_rescue_fraction_null_max;FDR_supported_rescue_fraction_observed_rank;FDR_supported_rescue_fraction_p_empirical;directional_rescue_fraction_observed;directional_rescue_fraction_null_n;directional_rescue_fraction_null_min;directional_rescue_fraction_null_median;directional_rescue_fraction_null_max;directional_rescue_fraction_observed_rank;directional_rescue_fraction_p_empirical;median_recovery_fraction_observed;median_recovery_fraction_null_n;median_recovery_fraction_null_min;median_recovery_fraction_null_median;median_recovery_fraction_null_max;median_recovery_fraction_observed_rank;median_recovery_fraction_p_empirical;whole_all_spearman_observed;whole_all_spearman_null_n;whole_all_spearman_null_min;whole_all_spearman_null_median;whole_all_spearman_null_max;whole_all_spearman_observed_rank;whole_all_spearman_p_empirical;whole_all_cosine_similarity_observed;whole_all_cosine_similarity_null_n;whole_all_cosine_similarity_null_min;whole_all_cosine_similarity_null_median;whole_all_cosine_similarity_null_max;whole_all_cosine_similarity_observed_rank;whole_all_cosine_similarity_p_empirical;primary_FDR_endpoint_at_minimum_p;whole_spearman_at_minimum_p;whole_cosine_at_minimum_p;permutation_supported_signature;population_evidence_level;n_Level_1_directional_candidate;n_Level_2_DE_supported_candidate;Level_2_subset_of_Level_1
pathways	47	population;population_evidence_tier;pathway;n_pathway_genes;n_matched_genes;aging_NES;aging_FDR;treatment_NES;treatment_FDR;residual_NES;residual_FDR;aging_direction;treatment_direction;direction_opposite;aging_GSEA_supported;treatment_GSEA_supported;rho_aging_treatment;rho_nominal_p;rho_perm_rank;rho_empirical_p;cosine;cosine_perm_rank;cosine_empirical_p;directional_denominator;directional_fraction;directional_perm_rank;directional_empirical_p;median_treatment_aging_ratio;p25_treatment_aging_ratio;p75_treatment_aging_ratio;fraction_ratio_ge_0_25;fraction_ratio_ge_0_50;fraction_ratio_ge_0_75;fraction_ratio_ge_1_00;aging_norm;residual_norm;residual_norm_ratio;vector_distance_reduction;distance_perm_rank;distance_empirical_p;leading_edge_overlap;pathway_evidence_level;qc_notes
localized	83	broad_population;subtype;pathway;broad_evidence_level;aging_NES;aging_FDR;treatment_NES;treatment_FDR;residual_NES;residual_FDR;direction_opposite;localized_GSEA_support
decomposition	18	broad_population;contrast;effect_source;vector_norm;projection_fraction_of_total;cosine_with_total;n_subtypes;subtypes;decomposition_method
geometry	63	population;library_id;group;validation_scheme;n_training_Y;n_training_OC;n_genes;aging_axis_projection
concordance	4	population;scope;n_genes;spearman;cosine;same_direction_fraction;external_reference
external_paths	13	population;pathway;aging_NES;treatment_NES;external_aging_NES;external_aging_FDR_q;external_aging_nominal_p;external_internal_aging_same_direction;treatment_opposes_external_aging
regulators	5016	analysis_level;population;activity_type;program;mean_Y;mean_OC;mean_OT;aging_effect_OC_minus_Y;treatment_effect_OT_minus_OC;residual_effect_OT_minus_Y;directionally_reversed;closer_to_young_after_treatment;opposition_magnitude;observed_rank_high_is_more_opposed;empirical_p
programs	10	population;program;mean_Y;mean_OC;mean_OT;aging_effect_OC_minus_Y;treatment_effect_OT_minus_OC;residual_effect_OT_minus_Y;directionally_reversed;closer_to_young_after_treatment;opposition_magnitude
ligands	4	sender;receiver;ligand;n_expressed_receptors;n_supported_receiver_targets;n_stage2_leading_edge_targets;sender_aging_effect;sender_treatment_effect;sender_residual_effect;sender_directional_rescue_candidate;sender_FDR_supported_rescue_candidate;median_sender_cpm;median_abs_ligand_target_weight
